Fraza,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
人民, 101, 717, 1171, 659, 1021, 988, 650, 1035, 931, 474, 997, 516, 135
团结, 31, 94, 261, 125, 121, 126, 59, 121, 105, 31, 72, 51, 14
我们, 127, 604, 760, 608, 810, 817, 547, 589, 1029, 347, 805, 394, 79
国家, 100, 492, 702, 525, 618, 735, 435, 669, 582, 314, 648, 264, 77
民族, 216, 187, 248, 248, 283, 498, 188, 278, 398, 108, 503, 161, 16
奋斗, 22, 87, 267, 209, 127, 137, 114, 128, 140, 52, 89, 65, 18
伟大, 36, 119, 289, 234, 245, 198, 214, 282, 242, 81, 166, 110, 20
责任, 17, 85, 85, 75, 99, 94, 50, 82, 209, 50, 74, 54, 1
梦想, 4, 10, 24, 14, 15, 14, 27, 55, 47, 11, 51, 34, 0
中国梦, 4, 2, 29, 10, 13, 43, 26, 49, 88, 20, 78, 63, 0
复兴, 27, 95, 137, 115, 85, 106, 79, 106, 105, 23, 88, 48, 6
伟大, 36, 119, 289, 234, 245, 198, 214, 282, 242, 81, 166, 110, 20
家梦想, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
中华民族伟大复兴的中国梦, 0, 0, 15, 7, 8, 22, 14, 21, 26, 11, 30, 19, 0
