Fraza,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2022,2024
人民, 135, 389, 890, 293, 464, 731, 334, 552, 272, 275, 754, 30, 10
团结, 14, 38, 66, 20, 63, 104, 40, 96, 27, 49, 132, 7, 8
我们的, 0, 27, 62, 18, 47, 23, 17, 29, 7, 3, 16, 2, 4
国家, 77, 178, 531, 210, 256, 402, 275, 246, 107, 100, 350, 18, 24
民族, 16, 143, 451, 82, 268, 237, 114, 364, 86, 123, 184, 7, 55
奋斗, 18, 62, 81, 31, 116, 115, 81, 90, 52, 122, 124, 7, 3
伟大, 20, 98, 164, 50, 202, 274, 137, 137, 99, 146, 195, 12, 8
责任, 1, 26, 63, 19, 71, 44, 40, 32, 5, 5, 38, 8, 2
梦想, 0, 34, 45, 9, 46, 42, 14, 5, 4, 9, 22, 2, 0
复兴, 6, 44, 88, 19, 89, 102, 56, 88, 37, 62, 92, 7, 3
伟大, 20, 98, 164, 50, 202, 274, 137, 137, 99, 146, 195, 12, 8
家梦想, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
中华民族伟大复兴的中国梦, 0, 19, 30, 11, 26, 21, 14, 22, 8, 7, 15, 0, 0
社会主义核心价值观, 0, 2, 32, 14, 14, 21, 8, 10, 3, 3, 16, 0, 0
遗产, 0, 1, 6, 1, 2, 3, 0, 6, 0, 0, 12, 0, 36
人格, 0, 0, 10, 1, 4, 5, 2, 1, 0, 2, 0, 0, 0
斗争, 2, 32, 28, 9, 32, 69, 19, 86, 8, 54, 81, 9, 0
中华民族伟大复兴的, 2, 32, 46, 12, 42, 46, 25, 33, 18, 21, 33, 1, 1
