OCCURRENCES OF ALL THE WORDS AMONG THE YEARS
人民, 135, 516, 997, 474, 931, 1035, 650, 988, 1021, 659, 1171, 717, 101
团结, 14, 51, 72, 31, 105, 121, 59, 126, 121, 125, 261, 94, 31
我们的, 0, 32, 72, 32, 77, 38, 36, 69, 40, 21, 26, 34, 14
国家, 77, 264, 648, 314, 582, 669, 435, 735, 618, 525, 702, 492, 100
民族, 16, 161, 503, 108, 398, 278, 188, 498, 283, 248, 248, 187, 216
奋斗, 18, 65, 89, 52, 140, 128, 114, 137, 127, 209, 267, 87, 22
伟大, 20, 110, 166, 81, 242, 282, 214, 198, 245, 234, 289, 119, 36
责任, 1, 54, 74, 50, 209, 82, 50, 94, 99, 75, 85, 85, 17
梦想, 0, 34, 51, 11, 47, 55, 27, 14, 15, 14, 24, 10, 4
中国梦, 0, 63, 78, 20, 88, 49, 26, 43, 13, 10, 29, 2, 4
复兴, 6, 48, 88, 23, 105, 106, 79, 106, 85, 115, 137, 95, 27
伟大, 20, 110, 166, 81, 242, 282, 214, 198, 245, 234, 289, 119, 36
家梦想, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
中华民族伟大复兴的中国梦, 0, 19, 30, 11, 26, 21, 14, 22, 8, 7, 15, 0, 0
社会主义核心价值观, 0, 2, 32, 18, 20, 21, 11, 17, 15, 4, 18, 1, 1
遗产, 0, 1, 6, 1, 3, 7, 0, 13, 16, 1, 13, 0, 36
人格, 0, 0, 10, 1, 6, 5, 5, 2, 9, 2, 0, 1, 0
斗争, 2, 33, 31, 25, 75, 75, 32, 117, 145, 87, 128, 77, 6
中华民族伟大复兴的, 2, 33, 46, 13, 48, 48, 31, 39, 32, 31, 48, 9, 5

人民, 135, 389, 890, 293, 464, 731, 334, 552, 272, 275, 754, 30, 10
团结, 14, 38, 66, 20, 63, 104, 40, 96, 27, 49, 132, 7, 8
我们的, 0, 27, 62, 18, 47, 23, 17, 29, 7, 3, 16, 2, 4
国家, 77, 178, 531, 210, 256, 402, 275, 246, 107, 100, 350, 18, 24
民族, 16, 143, 451, 82, 268, 237, 114, 364, 86, 123, 184, 7, 55
奋斗, 18, 62, 81, 31, 116, 115, 81, 90, 52, 122, 124, 7, 3
伟大, 20, 98, 164, 50, 202, 274, 137, 137, 99, 146, 195, 12, 8
责任, 1, 26, 63, 19, 71, 44, 40, 32, 5, 5, 38, 8, 2
梦想, 0, 34, 45, 9, 46, 42, 14, 5, 4, 9, 22, 2, 0
复兴, 6, 44, 88, 19, 89, 102, 56, 88, 37, 62, 92, 7, 3
伟大, 20, 98, 164, 50, 202, 274, 137, 137, 99, 146, 195, 12, 8
家梦想, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
中华民族伟大复兴的中国梦, 0, 19, 30, 11, 26, 21, 14, 22, 8, 7, 15, 0, 0
社会主义核心价值观, 0, 2, 32, 14, 14, 21, 8, 10, 3, 3, 16, 0, 0
遗产, 0, 1, 6, 1, 2, 3, 0, 6, 0, 0, 12, 0, 36
人格, 0, 0, 10, 1, 4, 5, 2, 1, 0, 2, 0, 0, 0
斗争, 2, 32, 28, 9, 32, 69, 19, 86, 8, 54, 81, 9, 0
中华民族伟大复兴的, 2, 32, 46, 12, 42, 46, 25, 33, 18, 21, 33, 1, 1
